ticker,name,sector,sub_industry,date_added,source
XEL,Xcel Energy,Utilities,Multi-Utilities,1957-03-04,wikipedia_current
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2011-11-01,wikipedia_current
YUM,Yum! Brands,Consumer Discretionary,Restaurants,1997-10-06,wikipedia_current
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,2019-12-23,wikipedia_current
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,2001-08-07,wikipedia_current
ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21,wikipedia_current
CELG,Celgene,Health Care,2019 BMS 인수합병,,historical_manual
MON,Monsanto,Materials,2018 Bayer 인수합병,,historical_manual
COL,Rockwell Collins,Industrials,2018 UTX 인수합병,,historical_manual
PCLN,Priceline,Consumer Discr.,2018 Booking Holdings로 변경,,historical_manual
ANDV,Andeavor,Energy,2018 MPC 인수합병,,historical_manual
CA,CA Technologies,Info Technology,2018 Broadcom 인수합병,,historical_manual
TWX,Time Warner,Communication,2018 AT&T 인수합병,,historical_manual
ESRX,Express Scripts,Health Care,2018 Cigna 인수합병,,historical_manual
RHT,Red Hat,Info Technology,2019 IBM 인수합병,,historical_manual
UTX,United Technologies,Industrials,2020 RTX로 변경,,historical_manual
AGN,Allergan,Health Care,2020 AbbVie 인수합병,,historical_manual
LB,L Brands,Consumer Discr.,2021 BBWI/VSCO 분사,,historical_manual
PBCT,People's United,Financials,2022 M&T Bank 인수합병,,historical_manual
XLNX,Xilinx,Info Technology,2022 AMD 인수합병,,historical_manual
ATVI,Activision Blizzard,Communication,2023 Microsoft 인수합병,,historical_manual
VMW,VMware,Info Technology,2023 Broadcom 인수합병,,historical_manual
